id,x,y,class,distance,vx,vy
363,3211.45,682.1535715,0,284.53993759260845,2927,675
364,4666.948586,683.177378,0,121.87068303063826,4651,804
365,2116.2741935,685.112903,0,68.1532255374818,2158,739
366,3932.4322035,685.338983,5,0.5492807476156906,3932,685
367,2905.927711,686.3514055,7,6.17061589510747,2909,681
368,1155.0645795,688.9882585,2,80.11458497286642,1216,741
369,1276.105357,685.5464285,2,80.3039473637694,1220,743
370,1388.282258,687.5080645,7,76.88501510772261,1453,646
371,4837.4827585,687.597701,0,75.25323979241497,4858,760
372,1516.328467,687.7664235,0,36.328012436017495,1531,721
373,2952.392157,688.117647,0,27.922704702970133,2926,679
374,2920.57109,688.151659,7,8.16293502610311,2921,680
375,3214.7350995,690.155629,0,288.13396289688,2927,675
376,1409.0247935,689.7603305,7,62.03857922443804,1453,646
377,3112.47541,689.319672,0,186.0273655160866,2927,675
378,1222.615694,690.162978,0,51.2656826047418,1216,741
379,1301.176,690.03,0,96.92968521562418,1220,743
380,1477.5,688.231552,2,40.32912674889826,1462,651
381,1493.2254465,690.4799105,0,48.3038641954489,1521,730
382,4006.2536025,690.479827,0,69.21228707518577,3938,679
383,1330.7448455,690.2293815,0,122.67501368123597,1220,743
384,2889.939516,690.435484,6,9.482143672636022,2889,681
385,1356.35307,691.2039475,2,106.25527677723906,1450,641
386,1366.6327275,691.010909,2,97.21724714830964,1450,641
387,1192.5,692.25,0,54.11850422914514,1216,741
388,1244.5114945,692.0114945,0,56.57420839699889,1220,743
389,1116.8092785,691.976804,3,68.48839790610502,1090,755
390,1136.093617,691.5095745,2,78.45798658080477,1090,755
391,1210.5,692.75,2,48.56245978119313,1216,741
392,3933.890511,694.2846715,0,4.376233506570792,3933,690
393,1091.482301,693.2477875,0,61.770000525334,1090,755
394,1263.143678,693.156609,2,65.92223128616443,1220,743
395,5195.30645,693.890681,0,75.95555023990192,5184,769
396,1201.8809525,694.3174605,2,48.77096468675102,1216,741
397,1486.053459,694.691824,0,49.678244939929776,1521,730
398,3892.8722825,694.040761,0,38.734555763799946,3930,683
399,1083.3386075,694.613924,2,60.56572260542123,1088,755
400,1347.9772725,694.534091,0,115.21517185568717,1450,641
401,2959.871359,694.936893,0,37.43332097210113,2926,679
402,1098.94375,694.6,0,61.05858386879355,1090,755
403,1170.3333335,694.75,0,64.99620703719737,1216,741
404,1323.9473685,695.8092105,0,114.15789955893598,1220,743
405,2756.755102,697.6836735,0,112.73536298555571,2695,792
406,3458.3939395,695.712121,0,300.9314258259651,3391,989
407,1337.1731845,696.181564,2,121.01856534580614,1401,799
408,1466.575,696.25,0,45.480689583602405,1462,651
409,2910.7458195,696.117057,7,14.487269896976137,2914,682
410,3229.2348485,696.848485,0,303.0235303480793,2927,675
411,4508.810345,695.7413795,0,101.34525856981197,4513,797
412,4349.8333335,696.7555555,0,128.07245692511634,4315,820
413,1146.5163935,696.637295,2,81.24228005887005,1090,755
414,1517.797059,697.0382355,0,27.358432137148128,1531,721
415,2512.3085105,698.9787235,0,199.68184780649958,2689,792
416,4996.742038,697.4394905,0,60.788333381439465,5002,758
417,1106.8421055,698.068421,0,59.3705415598205,1090,755
418,1505.9592275,697.809013,2,34.105169614457616,1530,722
419,1688.55,696.84,0,146.60350643828403,1547,735
420,1475.489754,698.9262295,2,49.78852214182685,1462,651
421,1633.3203125,698.9921875,0,93.52945477833607,1547,735
422,5085.33508,698.8612565,0,85.30552230286847,5059,780
423,1126.3661015,699.881356,2,66.03452320345049,1090,755
424,1301.27521,699.972689,0,91.96199895845473,1220,743
425,1532.178392,698.89531,7,21.18315830327867,1534,720
426,1069.672549,698.8960785,0,59.02156781919269,1088,755
427,1242.342857,700.55,0,47.97088449176706,1220,743
428,1352.4673205,700.643791,0,109.67846109561083,1401,799
429,1357.6358025,699.7098765,2,108.25367796275687,1403,798
430,1417.288889,700.722222,7,65.34374514421107,1453,646
431,2558.830357,700.9464285,0,158.85493017735743,2689,792
432,3295.73494,701.054217,0,302.0630482602709,3387,989
433,3884.3660375,700.5396225,0,44.22650439378992,3925,718
434,4219.5,701.5,0,98.11472876179192,4197,797
435,4639.4326925,700.565705,0,104.07908524264899,4651,804
436,1060.216981,702.55283,0,52.46689769524462,1034,748
437,1494.7340425,700.781915,2,39.288637218145276,1521,730
438,2461.0,701.24,0,245.062150484321,2687,796
439,1285.2509435,700.209434,0,78.03023879394797,1220,743
440,1180.7151165,703.0639535,0,51.80894351035091,1216,741
441,1322.27907,702.22093,2,110.10876763514254,1220,743
442,1609.0714285,702.0,0,70.27805555812284,1546,733
443,1921.4671055,702.114035,0,68.46889759978156,1984,730
444,2888.830769,701.3723075,0,20.37301038152974,2889,681
445,1078.4171195,702.7472825,0,53.12417608596005,1088,755
446,1359.1935485,704.983871,0,102.81539499105423,1403,798
447,1523.14693,702.616228,0,19.990842437798438,1531,721
448,1544.968391,702.816092,0,18.941540309102262,1537,720
